t_rel_s,arm_angle_rad,motor_speed_rad_s,pwm_us,ref_angle_rad
7.398760,0.401496,-0.000000,2000,0.000000
7.450250,0.401496,-0.000000,2000,0.000000
7.501665,0.401496,-0.000000,2000,0.000000
7.553302,0.401496,-0.000000,2000,0.000000
7.599653,0.401496,-0.000000,2000,0.000000
7.651101,0.401496,-0.000000,2000,0.000000
7.702526,0.401496,-0.000000,2000,0.000000
7.754512,0.401496,-0.000000,2000,0.000000
7.806763,0.401496,-0.000000,2000,0.000000
7.858549,0.401496,-0.000000,2000,0.000000
7.906110,0.401496,-0.000000,2000,0.000000
7.958510,0.401496,-0.000000,2000,0.000000
8.010522,0.401496,-0.000000,2000,0.000000
8.057377,0.401496,-0.000000,2000,0.000000
8.057377,0.401496,-0.000000,2000,0.000000
8.161258,0.401496,-0.000000,2000,0.000000
8.208503,0.401496,-0.000000,2000,0.000000
8.260683,0.401496,-0.000000,2000,0.000000
8.312191,0.401496,-0.000000,2000,0.000000
8.364050,0.401496,-0.000000,2000,0.000000
8.415533,0.401496,-0.000000,2000,0.000000
8.415533,0.401496,-0.000000,2000,0.000000
8.513687,0.401496,-0.000000,2000,0.000000
8.565245,0.401496,-0.000000,2000,0.000000
8.617046,0.401496,-0.000000,2000,0.000000
8.664214,0.401496,-0.000000,2000,0.000000
8.716364,0.401496,-0.000000,2000,0.000000
8.768432,0.401496,-0.000000,2000,0.000000
8.821265,0.401496,-0.000000,2000,0.000000
8.821265,0.401496,-0.000000,2000,0.000000
8.920770,0.401496,-0.000000,2000,0.000000
8.973067,0.401496,-0.000000,2000,0.000000
9.020494,0.401496,-0.000000,2000,0.000000
9.072826,0.401496,-0.000000,2000,0.000000
9.125442,0.401496,-0.000000,2000,0.000000
9.172390,0.401496,-0.000000,2000,0.000000
9.225274,0.401496,-0.000000,2000,0.000000
9.225274,0.401496,-0.000000,2000,0.000000
9.324906,0.401496,-0.000000,2000,0.000000
9.377553,0.401496,-0.000000,2000,0.000000
9.429628,0.401496,-0.000000,2000,0.000000
9.476368,0.401496,-0.000000,2000,0.000000
9.527752,0.401496,-0.000000,2000,0.000000
9.579954,0.401496,-0.000000,2000,0.000000
9.579954,0.401496,-0.000000,2000,0.000000
9.678689,0.401496,-0.000000,2000,0.000000
9.730003,0.401496,-0.000000,2000,0.000000
9.781447,0.401496,-0.000000,2000,0.000000
9.832741,0.401496,-0.000000,2000,0.000000
