# PropArm Data Recording
# Export Time: 2025-11-19T19:00:49
# Number of Points: 396
# Recording Duration: 19.981 seconds
# Start Time: 2025-11-19T18:59:27
# End Time: 2025-11-19T18:59:47
#
Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,Motor_Speed_rad_s,PWM_Input_us,Duty_Cycle_percent,Tracking_Error_deg
11.685040,59.661753,60.000000,540.293824,1437.00,7.1850,0.338247
11.734887,59.849523,60.000000,541.644195,1439.00,7.1950,0.150477
11.785950,60.157938,60.000000,540.173971,1442.00,7.2100,-0.157938
11.836979,60.299211,60.000000,540.709640,1436.00,7.1800,-0.299211
11.886994,60.851668,60.000000,542.038814,1438.00,7.1900,-0.851668
11.937958,61.258475,60.000000,540.138852,1435.00,7.1750,-1.258475
11.988305,61.425720,60.000000,540.962254,1434.00,7.1700,-1.425720
12.038953,61.981396,60.000000,541.581011,1437.00,7.1850,-1.981396
12.090004,62.338057,60.000000,539.174949,1436.00,7.1800,-2.338057
12.140954,62.500325,60.000000,540.299162,1441.00,7.2050,-2.500325
12.190944,62.682880,60.000000,539.803823,1438.00,7.1900,-2.682880
12.241949,62.969544,60.000000,539.071024,1437.00,7.1850,-2.969544
12.292046,63.128575,60.000000,539.230291,1435.00,7.1750,-3.128575
12.342954,63.343680,60.000000,537.943037,1437.00,7.1850,-3.343680
12.393910,63.515764,60.000000,539.184402,1438.00,7.1900,-3.515764
12.443947,63.442491,60.000000,536.844296,1436.00,7.1800,-3.442491
12.494997,63.612393,60.000000,538.061712,1441.00,7.2050,-3.612393
12.545055,63.625274,60.000000,537.609325,1432.00,7.1600,-3.625274
12.595927,63.582840,60.000000,536.973861,1438.00,7.1900,-3.582840
12.646964,63.285212,60.000000,537.586602,1436.00,7.1800,-3.285212
12.697058,63.047109,60.000000,536.553282,1438.00,7.1900,-3.047109
12.748212,62.786327,60.000000,537.962370,1440.00,7.2000,-2.786327
12.798863,62.296442,60.000000,536.412499,1436.00,7.1800,-2.296442
12.848932,61.992434,60.000000,537.060694,1437.00,7.1850,-1.992434
12.899870,61.467967,60.000000,537.592205,1440.00,7.2000,-1.467967
12.949865,61.153873,60.000000,536.471149,1440.00,7.2000,-1.153873
12.999867,60.656499,60.000000,537.137907,1437.00,7.1850,-0.656499
13.050939,60.047659,60.000000,536.265386,1439.00,7.1950,-0.047659
13.101898,59.613327,60.000000,537.868483,1441.00,7.2050,0.386673
13.151865,59.424062,60.000000,536.003881,1438.00,7.1900,0.575938
13.202851,59.044129,60.000000,537.258978,1437.00,7.1850,0.955871
13.252933,58.705024,60.000000,537.530902,1440.00,7.2000,1.294976
13.303911,58.310699,60.000000,536.374401,1438.00,7.1900,1.689301
13.354859,58.135859,60.000000,537.487191,1435.00,7.1750,1.864141
13.404845,57.925687,60.000000,536.580008,1431.00,7.1550,2.074313
13.454849,58.003630,60.000000,538.237041,1439.00,7.1950,1.996370
13.505839,58.118724,60.000000,536.715780,1435.00,7.1750,1.881276
13.556868,58.017439,60.000000,537.354483,1435.00,7.1750,1.982561
13.606846,58.094611,60.000000,538.355736,1438.00,7.1900,1.905389
13.657885,58.455189,60.000000,536.350275,1435.00,7.1750,1.544811
13.708093,58.796371,60.000000,537.731089,1434.00,7.1700,1.203629
13.758871,59.069317,60.000000,536.481636,1438.00,7.1900,0.930683
13.809906,59.375574,60.000000,537.400710,1436.00,7.1800,0.624426
13.859874,59.585419,60.000000,536.231069,1440.00,7.2000,0.414581
13.910853,59.788455,60.000000,536.620323,1441.00,7.2050,0.211545
13.960874,60.425484,60.000000,537.676725,1439.00,7.1950,-0.425484
14.011926,60.864807,60.000000,535.887311,1435.00,7.1750,-0.864807
14.062869,61.075626,60.000000,537.329635,1433.00,7.1650,-1.075626
14.112894,61.297021,60.000000,536.108389,1438.00,7.1900,-1.297021
14.163877,61.649917,60.000000,537.047316,1436.00,7.1800,-1.649917
14.213846,61.861933,60.000000,535.863844,1433.00,7.1650,-1.861933
14.265006,62.119427,60.000000,536.096922,1436.00,7.1800,-2.119427
14.315852,62.413321,60.000000,537.009189,1438.00,7.1900,-2.413321
14.366843,62.490237,60.000000,535.055125,1436.00,7.1800,-2.490237
14.416866,62.340830,60.000000,536.651437,1434.00,7.1700,-2.340830
14.468158,62.467384,60.000000,535.828051,1438.00,7.1900,-2.467384
14.517851,62.498327,60.000000,536.770553,1432.00,7.1600,-2.498327
14.568172,62.435182,60.000000,536.203740,1435.00,7.1750,-2.435182
14.618836,62.507725,60.000000,536.416194,1436.00,7.1800,-2.507725
14.669935,62.477860,60.000000,537.782140,1431.00,7.1550,-2.477860
14.719862,62.137568,60.000000,535.743454,1437.00,7.1850,-2.137568
14.770866,61.882915,60.000000,537.420341,1435.00,7.1750,-1.882915
14.821850,61.644032,60.000000,536.978090,1440.00,7.2000,-1.644032
14.872941,61.505665,60.000000,536.588466,1438.00,7.1900,-1.505665
14.922871,61.289492,60.000000,537.012716,1435.00,7.1750,-1.289492
14.973866,60.975934,60.000000,536.033004,1437.00,7.1850,-0.975934
15.023840,60.637187,60.000000,537.632903,1439.00,7.1950,-0.637187
15.074944,60.295890,60.000000,535.420973,1437.00,7.1850,-0.295890
15.124899,60.022852,60.000000,537.050847,1443.00,7.2150,-0.022852
