Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,PWM_Input_us,Duty_Cycle_percent,Tracking_Error_deg
1.487833,9.536100,15.000000,1249.00,6.2450,5.463900
1.497896,9.536100,15.000000,1249.00,6.2450,5.463900
1.508130,9.536100,15.000000,1249.00,6.2450,5.463900
1.518014,9.536100,15.000000,1249.00,6.2450,5.463900
1.528099,9.536100,15.000000,1249.00,6.2450,5.463900
1.538055,9.536100,15.000000,1249.00,6.2450,5.463900
1.548210,9.536100,15.000000,1249.00,6.2450,5.463900
1.558329,9.536100,15.000000,1249.00,6.2450,5.463900
1.568316,9.536100,15.000000,1249.00,6.2450,5.463900
1.578281,9.536100,15.000000,1249.00,6.2450,5.463900
1.588297,9.536100,15.000000,1250.00,6.2500,5.463900
1.598379,9.536100,15.000000,1250.00,6.2500,5.463900
1.608413,9.536100,15.000000,1250.00,6.2500,5.463900
1.618514,9.536100,15.000000,1250.00,6.2500,5.463900
1.628486,9.536100,15.000000,1250.00,6.2500,5.463900
1.638444,9.536100,15.000000,1250.00,6.2500,5.463900
1.648617,9.536100,15.000000,1250.00,6.2500,5.463900
1.658577,9.536100,15.000000,1250.00,6.2500,5.463900
1.668667,9.536100,15.000000,1250.00,6.2500,5.463900
1.678802,9.536100,15.000000,1250.00,6.2500,5.463900
1.688797,9.536100,15.000000,1250.00,6.2500,5.463900
1.698967,9.536100,15.000000,1250.00,6.2500,5.463900
1.708967,9.536100,15.000000,1250.00,6.2500,5.463900
1.719006,9.536100,15.000000,1250.00,6.2500,5.463900
1.729030,9.536100,15.000000,1250.00,6.2500,5.463900
1.739015,9.536100,15.000000,1250.00,6.2500,5.463900
1.749255,9.536100,15.000000,1250.00,6.2500,5.463900
1.759259,9.536100,15.000000,1250.00,6.2500,5.463900
1.769462,9.536100,15.000000,1250.00,6.2500,5.463900
1.779338,9.536100,15.000000,1250.00,6.2500,5.463900
1.789387,9.536100,15.000000,1250.00,6.2500,5.463900
1.799324,9.536100,15.000000,1250.00,6.2500,5.463900
1.809488,9.536100,15.000000,1251.00,6.2550,5.463900
1.819525,9.536100,15.000000,1251.00,6.2550,5.463900
1.829510,9.536100,15.000000,1251.00,6.2550,5.463900
1.839539,9.536100,15.000000,1251.00,6.2550,5.463900
1.849697,9.536100,15.000000,1251.00,6.2550,5.463900
1.859649,9.536100,15.000000,1251.00,6.2550,5.463900
1.869627,9.536100,15.000000,1251.00,6.2550,5.463900
1.879685,9.536100,15.000000,1251.00,6.2550,5.463900
1.889718,9.536100,15.000000,1251.00,6.2550,5.463900
1.899775,9.536100,15.000000,1251.00,6.2550,5.463900
1.909738,9.536100,15.000000,1251.00,6.2550,5.463900
1.919959,9.536100,15.000000,1251.00,6.2550,5.463900
1.929896,9.536100,15.000000,1251.00,6.2550,5.463900
1.939895,9.536100,15.000000,1251.00,6.2550,5.463900
1.949952,9.536100,15.000000,1251.00,6.2550,5.463900
1.960074,9.536100,15.000000,1251.00,6.2550,5.463900
1.970115,9.536100,15.000000,1251.00,6.2550,5.463900
1.980129,9.536100,15.000000,1251.00,6.2550,5.463900
