# PropArm Data Recording
# Export Time: 2025-11-19T14:19:50
# Number of Points: 995
# Recording Duration: 9.993 seconds
# Start Time: 2025-11-19T14:19:05
# End Time: 2025-11-19T14:19:15
#
Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,Motor_Speed_rad_s,PWM_Input_us
4.012007,18.173567,0.000000,387.588406,1219.00
4.021981,18.341654,0.000000,387.275131,1219.00
4.031958,18.505528,0.000000,386.968054,1219.00
4.042184,18.663410,0.000000,386.667051,1219.00
4.052063,18.815229,0.000000,386.338422,1218.00
4.062127,18.962167,0.000000,386.016294,1218.00
4.072324,19.103691,0.000000,385.700539,1218.00
4.082263,19.237998,0.000000,385.391030,1218.00
4.092328,19.364854,0.000000,385.087644,1218.00
4.102289,19.485241,0.000000,384.790260,1218.00
4.112374,19.598823,0.000000,384.498759,1218.00
4.122665,19.704511,0.000000,384.213024,1218.00
4.132452,19.801237,0.000000,383.932942,1218.00
4.142519,19.889821,0.000000,383.658401,1218.00
4.152533,19.970661,0.000000,383.389291,1218.00
4.162584,20.043050,0.000000,383.125504,1218.00
4.172943,20.106181,0.000000,382.866936,1218.00
4.182716,20.159944,0.000000,382.613483,1218.00
4.192781,20.204462,0.000000,382.365044,1218.00
4.202898,20.239807,0.000000,382.121520,1218.00
4.212947,20.265377,0.000000,381.882813,1218.00
4.223297,20.281021,0.000000,381.648829,1218.00
4.233038,20.286805,0.000000,381.419473,1218.00
4.243081,20.282784,0.000000,381.194655,1218.00
4.253167,20.269023,0.000000,380.974284,1218.00
4.263159,20.245226,0.000000,380.758272,1218.00
4.273407,20.211510,0.000000,380.546534,1218.00
4.283362,20.167899,0.000000,380.338985,1218.00
4.293361,20.114029,0.000000,380.135541,1218.00
4.303369,20.050023,0.000000,379.936122,1218.00
4.313371,19.976458,0.000000,379.740648,1218.00
4.323674,19.893404,0.000000,379.549041,1218.00
4.333665,19.800200,0.000000,379.361225,1218.00
4.343618,19.696766,0.000000,379.177124,1218.00
4.353610,19.583970,0.000000,378.996665,1218.00
4.363654,19.462746,0.000000,378.819776,1218.00
4.373994,19.332475,0.000000,378.646386,1218.00
4.383931,19.192531,0.000000,378.476426,1218.00
